arm,metric,gamma2_percent,gamma1_percent,gamma1_minus_gamma2_pp
hha,mIoU_percent,60.98827182233775,60.182898850089714,-0.805372972248037
hha,pixel_accuracy_percent,82.42028293615998,82.49702494591557,0.07674200975559131
hha,mean_accuracy_percent,69.20157179544748,68.10313214153503,-1.0984396539124504
relplus,mIoU_percent,61.016897597503004,61.40637239796889,0.3894748004658837
relplus,pixel_accuracy_percent,83.01789966389737,82.91289229550067,-0.10500736839669855
relplus,mean_accuracy_percent,69.13876764179273,69.36485738988449,0.2260897480917663
