arm,old_mIoU_percent,new_mIoU_percent,delta_mIoU_pp,pixel_accuracy_percent,mean_accuracy_percent
RGBD,54.835780430705185,55.41120158998274,0.5754211592775533,79.40777713451718,63.45112232002759
HHA,59.155781562327384,60.98827182233775,1.832490260010367,82.42028293615998,69.20157179544748
RELPlus,59.58536567805432,61.016897597503004,1.4315319194486804,83.01789966389737,69.13876764179273
