arm,epoch,seed,test_samples,mIoU_percent,pixel_accuracy_percent,mean_accuracy_percent
RGBD,200,12345,17593,54.835780430705185,79.35569832736189,62.95056843937326
HHA,200,12345,17593,59.155781562327384,81.90814566621547,67.28648158756731
RELPlus,200,12345,17593,59.58536567805432,81.85393152664864,67.64220937148674
